IP
CAPH2_30min_N_D
CAPH2_5min_N_D
CAPH2_7.5min_N_D
CAPH2_G2_N_D
CAPH_30min_N_D
CAPH_5min_N_D
CAPH_7.5min_N_D
CAPH_G2_N_D
CENPH_30min_N_D
CENPH_5min_N_D
CENPH_7.5min_N_D
CENPH_G2_N_D
CTCF_30min_N_D-S2-A-C
CTCF_30min_N+I_D-S2-A-C
CTCF_5min_N_D-S2-A-C
CTCF_5min_N+I_D-S2-A-C
CTCF_7.5min_N_D-S2-A-C
CTCF_7.5min_N+I_D-S2-A-C
CTCF_G2_N_D-S2-A-C
CTCF_G2_N+I_D-S2-A-C
H3K9ME2-AB_G2_N_D-S3-A-C
H3K9ME2-AM_G2_N_D-S3-A-C
H3K9ME3_G2_N_D-S3-A-C
KIF4_30min_N_D
KIF4_5min_N_D
KIF4_7.5min_N_D
KIF4_G2_N_D
LMNB1_G2_N_D-S3-A-C
SMC3_30min_N_D
SMC3_30min_N_D-S2-A-C
SMC3_30min_N+I_D-S2-A-C
SMC3_5min_N_D
SMC3_5min_N_D-S2-A-C
SMC3_5min_N+I_D-S2-A-C
SMC3_7.5min_N_D
SMC3_7.5min_N_D-S2-A-C
SMC3_7.5min_N+I_D-S2-A-C
SMC3_G2_N_D
SMC3_G2_N_D-S2-A-C
SMC3_G2_N+I_D-S2-A-C
TOPOII_30min_N_D
TOPOII_5min_N_D
TOPOII_7.5min_N_D
TOPOII_G2_N_D
